gas_price;gas_type;place_id
21.84;regular;10314
23.79;premium;10314
22.74;diesel;10314
20.4;regular;10280
21.5;diesel;10280
18.79;diesel;10749
19.79;regular;10384
21.99;premium;10384
21.89;diesel;10384
20.84;regular;10742
22.6;premium;10742
21.85;diesel;10742
19.39;regular;10531
21.24;premium;10531
21.4;diesel;10531
20.79;regular;10605
22.69;diesel;10605
22.75;premium;10605
21.91;regular;3133
23.66;premium;3133
23.5;diesel;3133
21.49;regular;10783
22.99;premium;10783
20.69;diesel;10783
22.96;premium;10587
23.26;diesel;10587
21.51;regular;10587
21.25;regular;10567
22.85;diesel;10567
21.88;regular;10767
23.18;diesel;10767
23.18;premium;10767
23.09;diesel;10661
21.59;regular;10661
23.59;premium;10661
20.5;regular;10319
22;premium;10319
21.8;diesel;10319
20.52;regular;10406
22.59;premium;10406
21.8;regular;10775
23.5;premium;10775
23.2;diesel;10775
20.58;regular;10559
22.59;premium;10559
20.84;diesel;10665
15.84;regular;10665
18.25;premium;10665
23.09;regular;2929
24.69;premium;2929
20.4;regular;10773
21.5;diesel;10773
21.99;diesel;10745
20.9;regular;10745
23.3;premium;10745
20.99;regular;10719
22.69;diesel;10719
22.99;premium;10719
21.75;regular;10598
22.7;diesel;10598
21.89;regular;10573
23.09;premium;10573
22.99;diesel;10573
22.23;regular;10533
24.22;premium;10533
21.89;regular;10757
23.09;premium;10757
22.99;diesel;10757
22.8;diesel;10615
21.4;regular;10615
21.33;regular;10574
22.75;premium;10574
22.8;diesel;10574
19.89;regular;10431
21.99;premium;10431
22.69;regular;2818
24.39;premium;2818
22.99;diesel;2818
21.8;premium;10272
21;diesel;10272
20;regular;10272
22.19;regular;10326
24.29;premium;10326
22.29;diesel;10326
19.99;regular;10347
21.99;premium;10347
21.89;diesel;10347
20.84;diesel;10686
15.84;regular;10686
18.25;premium;10686
